Alpha-3 code,2016,2017,2018,2019,2020,2021,2022
ABW,11,11,11,11,11,11,11
AGO,16,16,18,15,16,18,16
ARE,13,11,12,11,10,11,11
ARG,16,17,17,17,17,16,17
AUS,8,8,7,8,9,9,9
AUT,13,13,13,13,13,13,13
BDI,13,13,14,13,13,12,13
BEL,12,12,12,12,12,12,12
BGD,7,7,7,7,7,7,7
BLR,9,9,9,9,9,9,9
BRA,13,13,13,12,13,13,13
CAN,10,11,10,9,9,11,10
CHE,9,9,9,9,9,9,9
CHL,16,17,17,17,16,17,16
COL,18,17,17,15,18,18,17
CZE,13,13,13,13,13,13,13
DEU,9,10,9,9,9,9,9
DJI,11,11,11,11,11,11,11
DNK,12,12,12,12,12,12,12
DOM,12,12,12,12,12,12,12
EGY,16,17,17,17,17,17,16
ESP,9,9,9,9,9,9,9
EST,12,12,12,12,12,12,12
FIN,15,15,15,15,15,15,15
FRA,11,11,11,11,11,11,11
GBR,15,14,14,14,14,16,17
GEO,17,17,16,17,17,17,17
GRC,11,11,11,11,11,11,11
HKG,18,17,17,17,17,17,18
HND,16,15,16,16,16,16,15
HRV,14,14,14,14,14,14,14
HUN,13,12,18,15,14,13,14
IND,6,6,6,6,6,6,6
IRL,10,10,10,10,10,11,11
ISL,16,16,16,16,16,16,16
ITA,12,12,12,12,12,12,12
JAM,14,14,13,14,14,14,14
JPN,17,17,17,19,17,17,16
KEN,10,10,9,10,9,11,10
KOR,17,17,18,17,18,16,17
LTU,14,15,15,15,15,15,14
LUX,10,10,10,11,11,11,11
LVA,13,13,13,13,13,13,13
MEX,11,11,12,10,10,13,11
MOZ,14,13,11,13,12,11,14
MWI,14,15,12,13,12,13,16
NGA,7,7,7,7,7,7,7
NIC,9,9,9,9,9,8,8
NLD,10,10,10,10,11,10,10
NOR,12,12,12,12,12,12,12
NZL,13,11,10,10,12,15,14
PER,14,14,14,14,14,14,14
POL,13,13,13,13,13,13,13
PRT,13,13,13,13,13,13,13
PRY,12,12,12,12,12,12,12
ROU,9,10,10,10,10,10,10
RUS,8,8,8,8,8,8,8
SAU,6,5,4,5,5,4,5
SGP,12,13,10,13,14,10,14
SRB,9,10,10,9,10,9,11
SVK,15,15,16,15,15,15,15
SVN,11,11,11,11,11,11,11
SWE,16,16,16,16,16,16,16
TUR,10,11,11,11,11,11,11
UKR,10,11,11,11,11,11,11
USA,11,12,11,10,11,13,11
VNM,11,12,11,11,11,11,12
ZAF,15,14,13,14,13,14,14
